"date";"type";"name";"value"
2019-11-01 00:00:00;device_type;mobile;397
2019-11-01 00:00:00;device_type;Nan;17
2019-11-01 00:00:00;device_type;desktop;4
2019-11-01 00:00:00;device_type;media;1
2019-11-01 00:00:00;device_type;tablet;3
2019-11-01 00:00:00;os;iOS;160
2019-11-01 00:00:00;os;Android;255
2019-11-01 00:00:00;os;Windows;4
2019-11-01 00:00:00;os;OS X;1
2019-11-01 00:00:00;os;others;2
2019-11-01 00:00:00;browser;Safari;160
2019-11-01 00:00:00;browser;Chrome;250
2019-11-01 00:00:00;browser;Opera;7
2019-11-01 00:00:00;browser;Firefox;3
2019-11-01 00:00:00;browser;Android;2
2019-11-01 00:00:00;lang;de;37
2019-11-01 00:00:00;lang;vi;3
2019-11-01 00:00:00;lang;en;123
2019-11-01 00:00:00;lang;sk;34
2019-11-01 00:00:00;lang;fr;22
2019-11-01 00:00:00;lang;ru;50
2019-11-01 00:00:00;lang;zh;3
2019-11-01 00:00:00;lang;es;19
2019-11-01 00:00:00;lang;he;17
2019-11-01 00:00:00;lang;pt;16
2019-11-01 00:00:00;lang;it;13
2019-11-01 00:00:00;lang;sl;4
2019-11-01 00:00:00;lang;uk;11
2019-11-01 00:00:00;lang;hu;5
2019-11-01 00:00:00;lang;el;6
2019-11-01 00:00:00;lang;cs;5
2019-11-01 00:00:00;lang;nb;2
2019-11-01 00:00:00;lang;pl;6
2019-11-01 00:00:00;lang;tr;21
2019-11-01 00:00:00;lang;nl;5
2019-11-01 00:00:00;lang;ja;4
2019-11-01 00:00:00;lang;ar;6
2019-11-01 00:00:00;lang;bg;1
2019-11-01 00:00:00;lang;id;2
2019-11-01 00:00:00;lang;ro;3
2019-11-01 00:00:00;lang;sr;2
2019-11-01 00:00:00;lang;hr;2
2019-11-02 00:00:00;device_type;mobile;309
2019-11-02 00:00:00;device_type;desktop;6
2019-11-02 00:00:00;device_type;Nan;15
2019-11-02 00:00:00;device_type;tablet;1
2019-11-02 00:00:00;os;Android;212
2019-11-02 00:00:00;os;Windows;3
2019-11-02 00:00:00;os;iOS;113
2019-11-02 00:00:00;os;OS X;3
2019-11-02 00:00:00;browser;Chrome;210
2019-11-02 00:00:00;browser;Safari;113
2019-11-02 00:00:00;browser;Opera;2
2019-11-02 00:00:00;browser;Firefox;5
2019-11-02 00:00:00;browser;Android;1
2019-11-02 00:00:00;lang;en;92
2019-11-02 00:00:00;lang;de;33
2019-11-02 00:00:00;lang;ru;53
2019-11-02 00:00:00;lang;sk;28
2019-11-02 00:00:00;lang;it;13
2019-11-02 00:00:00;lang;pt;18
2019-11-02 00:00:00;lang;hu;7
2019-11-02 00:00:00;lang;ja;4
2019-11-02 00:00:00;lang;es;26
2019-11-02 00:00:00;lang;fr;8
2019-11-02 00:00:00;lang;el;3
2019-11-02 00:00:00;lang;tr;7
2019-11-02 00:00:00;lang;sv;1
2019-11-02 00:00:00;lang;cs;8
2019-11-02 00:00:00;lang;uk;4
2019-11-02 00:00:00;lang;hr;5
2019-11-02 00:00:00;lang;sr;2
2019-11-02 00:00:00;lang;ro;4
2019-11-02 00:00:00;lang;he;4
2019-11-02 00:00:00;lang;zh;3
2019-11-02 00:00:00;lang;da;2
2019-11-02 00:00:00;lang;id;1
2019-11-02 00:00:00;lang;nl;2
2019-11-02 00:00:00;lang;nb;1
2019-11-02 00:00:00;lang;fi;1
2019-11-02 00:00:00;lang;ka;1
2019-11-03 00:00:00;device_type;mobile;459
2019-11-03 00:00:00;device_type;Nan;12
2019-11-03 00:00:00;device_type;tablet;1
2019-11-03 00:00:00;device_type;desktop;1
2019-11-03 00:00:00;os;Android;277
2019-11-03 00:00:00;os;iOS;194
2019-11-03 00:00:00;os;Windows;2
2019-11-03 00:00:00;browser;Chrome;276
2019-11-03 00:00:00;browser;Safari;194
2019-11-03 00:00:00;browser;Opera;2
2019-11-03 00:00:00;browser;Android;1
2019-11-03 00:00:00;lang;en;189
2019-11-03 00:00:00;lang;sk;50
2019-11-03 00:00:00;lang;fr;10
2019-11-03 00:00:00;lang;tr;13
2019-11-03 00:00:00;lang;ru;72
2019-11-03 00:00:00;lang;de;25
2019-11-03 00:00:00;lang;vi;2
2019-11-03 00:00:00;lang;pt;7
2019-11-03 00:00:00;lang;es;18
2019-11-03 00:00:00;lang;uk;23
2019-11-03 00:00:00;lang;mk;2
2019-11-03 00:00:00;lang;el;6
2019-11-03 00:00:00;lang;it;3
2019-11-03 00:00:00;lang;ro;3
2019-11-03 00:00:00;lang;hu;3
2019-11-03 00:00:00;lang;th;1
2019-11-03 00:00:00;lang;ja;2
2019-11-03 00:00:00;lang;ar;7
2019-11-03 00:00:00;lang;sr;15
2019-11-03 00:00:00;lang;bg;1
2019-11-03 00:00:00;lang;he;10
2019-11-03 00:00:00;lang;cs;3
2019-11-03 00:00:00;lang;zh;1
2019-11-03 00:00:00;lang;ko;1
2019-11-03 00:00:00;lang;nl;3
2019-11-03 00:00:00;lang;hr;2
2019-11-03 00:00:00;lang;pl;1
2019-11-04 00:00:00;device_type;mobile;297
2019-11-04 00:00:00;device_type;Nan;11
2019-11-04 00:00:00;device_type;desktop;7
2019-11-04 00:00:00;device_type;tablet;3
2019-11-04 00:00:00;os;Android;160
2019-11-04 00:00:00;os;iOS;147
2019-11-04 00:00:00;os;Windows;4
2019-11-04 00:00:00;os;others;2
2019-11-04 00:00:00;os;OS X;5
2019-11-04 00:00:00;browser;Chrome;164
2019-11-04 00:00:00;browser;Safari;147
2019-11-04 00:00:00;browser;Firefox;7
2019-11-04 00:00:00;lang;sk;61
2019-11-04 00:00:00;lang;en;94
2019-11-04 00:00:00;lang;ru;52
2019-11-04 00:00:00;lang;es;14
2019-11-04 00:00:00;lang;pt;17
2019-11-04 00:00:00;lang;de;14
2019-11-04 00:00:00;lang;cs;1
2019-11-04 00:00:00;lang;fr;7
2019-11-04 00:00:00;lang;zh;6
2019-11-04 00:00:00;lang;it;3
2019-11-04 00:00:00;lang;el;3
2019-11-04 00:00:00;lang;uk;5
2019-11-04 00:00:00;lang;pl;1
2019-11-04 00:00:00;lang;tr;18
2019-11-04 00:00:00;lang;sr;5
2019-11-04 00:00:00;lang;ro;2
2019-11-04 00:00:00;lang;ar;4
2019-11-04 00:00:00;lang;az;1
2019-11-04 00:00:00;lang;sl;1
2019-11-04 00:00:00;lang;nl;3
