"date";"location";"value"
2020-03-01 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);6
2020-03-01 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);20
2020-03-01 00:00:00;NSLO (oblasť parku Námestia Slobody);2
2020-03-01 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);48
2020-03-01 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);9
2020-03-01 00:00:00;KNPM (oblasť Jedlíkovej ulice);0
2020-03-01 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);7
2020-03-01 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);20
2020-03-01 00:00:00;RBNN (oblasť Rybného Námestia);45
2020-03-01 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);7
2020-03-01 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);13
2020-03-01 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);26
2020-03-01 00:00:00;OBCH ( oblasť Obchodná ulica stred);3
2020-03-01 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);1
2020-03-01 00:00:00;NSNP (oblasť Námestia SNP);8
2020-03-01 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);4
2020-03-01 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);1
2020-03-01 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);16
2020-03-01 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);17
2020-03-01 00:00:00;HURN (oblasť Hurbanovho námestia);12
2020-03-02 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);17
2020-03-02 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);46
2020-03-02 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);1
2020-03-02 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);14
2020-03-02 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);31
2020-03-02 00:00:00;RBNN (oblasť Rybného Námestia);24
2020-03-02 00:00:00;OBCH ( oblasť Obchodná ulica stred);7
2020-03-02 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);9
2020-03-02 00:00:00;KNPM (oblasť Jedlíkovej ulice);3
2020-03-02 00:00:00;NSNP (oblasť Námestia SNP);8
2020-03-02 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);12
2020-03-02 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);3
2020-03-02 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);9
