DATE,DATA_IN,DATA_OUT,UNIQUE_CONN
2020-02-01 00:00:00,21914566188,124133809318,4523
2020-02-01 02:00:00,387654498,9182859963,141
2020-02-01 04:00:00,160490225,4084723817,109
2020-02-01 06:00:00,121023213,1684369689,89
2020-02-01 08:00:00,1154619703,8225731162,246
2020-02-01 10:00:00,2386689103,10987182867,645
2020-02-01 12:00:00,4432346769,14573299199,892
2020-02-01 14:00:00,4924445039,15847593821,1107
2020-02-01 16:00:00,2290518505,11035484850,862
2020-02-01 18:00:00,1939976896,11759087920,564
2020-02-01 20:00:00,1188664452,12981097434,398
2020-02-01 22:00:00,1052164835,12341325610,331
2020-02-02 00:00:00,15338400841,94491973324,3543
2020-02-02 02:00:00,152310745,3490777246,131
2020-02-02 04:00:00,55001286,1552044173,97
2020-02-02 06:00:00,132223993,2307969745,43
2020-02-02 08:00:00,338976765,5185578237,205
2020-02-02 10:00:00,2055064237,9875195876,480
2020-02-02 12:00:00,3502113103,14590980300,846
2020-02-02 14:00:00,4262261323,11273409040,808
2020-02-02 16:00:00,2899629159,11178698136,707
2020-02-02 18:00:00,412437697,6290932074,330
2020-02-02 20:00:00,465075624,6938567434,339
2020-02-02 22:00:00,342907629,5989344397,138
2020-02-03 00:00:00,8891218330,81467454892,2938
2020-02-03 02:00:00,118815938,473823066,34
2020-02-03 04:00:00,139260160,722262440,36
2020-02-03 06:00:00,135948271,2697248940,132
2020-02-03 08:00:00,1089220574,5022884262,232
2020-02-03 10:00:00,618133555,6315660643,421
2020-02-03 12:00:00,1036515743,7705103988,617
2020-02-03 14:00:00,1606540427,15502056613,608
2020-02-03 16:00:00,986997613,9235803005,610
2020-02-03 18:00:00,1424160934,10381700470,393
2020-02-03 20:00:00,1008804082,9881654189,292
2020-02-03 22:00:00,481928587,7245610220,214
2020-02-04 00:00:00,10713253825,108755924457,2957
2020-02-04 02:00:00,51847246,503248800,28
2020-02-04 04:00:00,41727568,942306771,20
2020-02-04 06:00:00,134235956,3121504014,198
2020-02-04 08:00:00,483190372,6288632366,274
2020-02-04 10:00:00,2095649710,10770353908,373
2020-02-04 12:00:00,1264227260,13851368308,545
2020-02-04 14:00:00,1531367114,13229659294,591
2020-02-04 16:00:00,2632219325,11589715676,640
2020-02-04 18:00:00,372214913,8087003278,420
2020-02-04 20:00:00,1072636241,14893219299,305
