"date";"new_users";"returning_users";"average_online";"max_online";"dwell_5m";"dwell_10m";"dwell_30m";"dwell_60m";"dwell_long"
2019-06-01 00:00:00;950;2658;227;896;16157;3938;2594;430;150
2019-06-02 00:00:00;657;2641;192;859;14094;3161;2169;351;128
2019-06-03 00:00:00;613;2761;185;758;12776;2958;2078;405;162
2019-06-04 00:00:00;643;3141;202;742;13834;3359;2342;421;176
2019-06-05 00:00:00;687;2864;193;741;13347;3285;2173;373;171
2019-06-06 00:00:00;697;2890;197;768;13531;3143;2231;407;169
2019-06-07 00:00:00;753;3444;218;743;15299;3803;2497;419;148
2019-06-08 00:00:00;883;2800;211;873;15570;3643;2359;362;126
2019-06-09 00:00:00;811;2654;225;908;16605;3884;2435;406;146
2019-06-10 00:00:00;688;2932;199;798;13786;3334;2311;416;167
2019-06-11 00:00:00;649;3261;200;809;13992;3304;2281;445;151
2019-06-12 00:00:00;694;3207;216;760;14786;3661;2487;420;212
2019-06-13 00:00:00;667;2786;254;1090;13152;3391;2218;382;502
2019-06-14 00:00:00;653;3010;183;624;12346;3093;2194;394;150
2019-06-15 00:00:00;725;2667;199;759;13297;3347;2236;460;217
2019-06-16 00:00:00;680;2594;184;715;13147;3084;2029;360;148
2019-06-17 00:00:00;620;3128;193;795;13842;3285;2175;362;145
2019-06-18 00:00:00;638;3189;206;780;13012;3381;2291;376;179
2019-06-19 00:00:00;724;2976;198;1042;13895;3294;2288;345;189
2019-06-20 00:00:00;914;3396;252;972;17389;4489;2961;461;206
2019-06-21 00:00:00;829;3273;222;842;15290;3966;2542;450;180
2019-06-22 00:00:00;649;2672;196;796;13682;3431;2275;358;158
2019-06-23 00:00:00;560;2277;164;719;11273;2766;1767;301;136
2019-06-24 00:00:00;767;2979;200;866;13980;3450;2317;389;159
2019-06-25 00:00:00;716;3078;203;746;14384;3501;2304;370;157
2019-06-26 00:00:00;880;2922;210;947;14796;3766;2389;366;158
2019-06-27 00:00:00;714;3099;261;826;12415;3163;2103;301;546
2019-06-28 00:00:00;679;3236;327;1064;12877;3302;2255;352;623
2019-06-29 00:00:00;687;2588;239;816;11858;3097;2124;354;472
2019-06-30 00:00:00;37;443;21;308;1269;266;189;23;39
