"date";"type";"name";"value"
2018-05-24 00:00:00;device_type;Nan;61
2018-05-24 00:00:00;device_type;desktop;4
2018-05-24 00:00:00;device_type;mobile;397
2018-05-24 00:00:00;device_type;tablet;5
2018-05-24 00:00:00;os;Android;246
2018-05-24 00:00:00;os;Nan;1
2018-05-24 00:00:00;os;OS X;1
2018-05-24 00:00:00;os;Windows;6
2018-05-24 00:00:00;os;iOS;193
2018-05-24 00:00:00;os;others;3
2018-05-24 00:00:00;lang;ar;2
2018-05-24 00:00:00;lang;ca;1
2018-05-24 00:00:00;lang;cs;6
2018-05-24 00:00:00;lang;da;1
2018-05-24 00:00:00;lang;de;12
2018-05-24 00:00:00;lang;el;3
2018-05-24 00:00:00;lang;en;114
2018-05-24 00:00:00;lang;es;7
2018-05-24 00:00:00;lang;he;1
2018-05-24 00:00:00;lang;hr;1
2018-05-24 00:00:00;lang;hu;1
2018-05-24 00:00:00;lang;it;5
2018-05-24 00:00:00;lang;ja;3
2018-05-24 00:00:00;lang;ka;2
2018-05-24 00:00:00;lang;nl;2
2018-05-24 00:00:00;lang;pl;3
2018-05-24 00:00:00;lang;pt;2
2018-05-24 00:00:00;lang;ro;4
2018-05-24 00:00:00;lang;ru;27
2018-05-24 00:00:00;lang;sk;227
2018-05-24 00:00:00;lang;sl;1
2018-05-24 00:00:00;lang;sq;2
2018-05-24 00:00:00;lang;sr;10
2018-05-24 00:00:00;lang;th;3
2018-05-24 00:00:00;lang;tr;5
2018-05-24 00:00:00;lang;uk;4
2018-05-24 00:00:00;lang;zh;2
2018-05-24 00:00:00;browser;Android;7
2018-05-24 00:00:00;browser;Chrome;244
2018-05-24 00:00:00;browser;Firefox;2
2018-05-24 00:00:00;browser;Nan;1
2018-05-24 00:00:00;browser;Opera;4
2018-05-24 00:00:00;browser;Safari;193
2018-05-24 00:00:00;browser;others;1
2018-05-25 00:00:00;device_type;Nan;54
2018-05-25 00:00:00;device_type;mobile;1071
2018-05-25 00:00:00;os;Android;777
2018-05-25 00:00:00;os;Windows;5
2018-05-25 00:00:00;os;iOS;479
2018-05-25 00:00:00;lang;en;193
2018-05-25 00:00:00;lang;es;3
2018-05-25 00:00:00;lang;mk;1
2018-05-25 00:00:00;lang;ru;14
2018-05-25 00:00:00;lang;sk;666
2018-05-25 00:00:00;browser;Chrome;908
2018-05-25 00:00:00;browser;Safari;480
2018-05-26 00:00:00;device_type;Nan;76
2018-05-26 00:00:00;device_type;desktop;3
2018-05-26 00:00:00;device_type;mobile;1952
2018-05-26 00:00:00;os;Android;706
2018-05-26 00:00:00;os;OS X;2
2018-05-26 00:00:00;os;iOS;804
2018-05-26 00:00:00;lang;de;15
2018-05-26 00:00:00;lang;en;501
2018-05-26 00:00:00;lang;ru;6
2018-05-26 00:00:00;lang;sk;556
2018-05-26 00:00:00;browser;Chrome;851
2018-05-26 00:00:00;browser;Firefox;3
2018-05-26 00:00:00;browser;Safari;805
2018-05-27 00:00:00;device_type;Nan;56
2018-05-27 00:00:00;device_type;mobile;2040
2018-05-27 00:00:00;os;Android;828
2018-05-27 00:00:00;os;Windows;6
2018-05-27 00:00:00;os;iOS;845
2018-05-27 00:00:00;lang;de;15
2018-05-27 00:00:00;lang;en;371
2018-05-27 00:00:00;lang;es;12
2018-05-27 00:00:00;lang;hr;6
2018-05-27 00:00:00;lang;hu;7
2018-05-27 00:00:00;lang;sk;522
2018-05-27 00:00:00;lang;vi;2
2018-05-27 00:00:00;browser;Android;5
2018-05-27 00:00:00;browser;Chrome;807
2018-05-27 00:00:00;browser;IE;1
2018-05-27 00:00:00;browser;Safari;845
2018-05-28 00:00:00;device_type;desktop;4
2018-05-28 00:00:00;device_type;mobile;1233
2018-05-28 00:00:00;device_type;tablet;7
2018-05-28 00:00:00;os;Android;490
2018-05-28 00:00:00;os;OS X;2
2018-05-28 00:00:00;os;iOS;490
2018-05-28 00:00:00;lang;de;16
2018-05-28 00:00:00;lang;en;211
2018-05-28 00:00:00;lang;sk;388
2018-05-28 00:00:00;lang;zh;2
2018-05-28 00:00:00;browser;Chrome;485
2018-05-28 00:00:00;browser;Firefox;3
2018-05-28 00:00:00;browser;Safari;490
2018-05-29 00:00:00;device_type;Nan;52
2018-05-29 00:00:00;device_type;mobile;1263
2018-05-29 00:00:00;os;Android;910
2018-05-29 00:00:00;os;iOS;385
2018-05-29 00:00:00;lang;en;216
2018-05-29 00:00:00;lang;es;3
2018-05-29 00:00:00;lang;hu;3
2018-05-29 00:00:00;lang;pl;2
2018-05-29 00:00:00;lang;sk;544
2018-05-29 00:00:00;lang;tr;3
2018-05-29 00:00:00;browser;Chrome;895
