"date";"location";"value"
2020-09-01 00:00:00;PAMV (oblasť Pamätníka Víťazstva a pred SND);14
2020-09-01 00:00:00;RBNN (oblasť Rybného Námestia);8
2020-09-01 00:00:00;ZIDO (oblasť Židovskej ulice pri dobrom pastierovi);4
2020-09-01 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);7
2020-09-01 00:00:00;KOLN (oblasť spodnej časti Kollárovho námestia);3
2020-09-01 00:00:00;FJNN (oblasť Fajnorovho Nábrežia pred SPŠS);2
2020-09-01 00:00:00;NLST (oblasť Námestia Ľudovíta Štúra);15
2020-09-01 00:00:00;HURN (oblasť Hurbanovho námestia);7
2020-09-01 00:00:00;RIGL (oblasť Rigeleho a Rázusovho Nábrežia);8
2020-09-01 00:00:00;VNTU (oblasť križovania ulíc Ventúrska-Michalská-Sedlárska);4
2020-09-01 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);7
2020-09-01 00:00:00;NSNP (oblasť Námestia SNP);4
2020-09-01 00:00:00;HVZN (oblasť Hviezdoslavovho Námestia v okolí ambasády USA);6
2020-09-01 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);8
2020-09-01 00:00:00;Tyršák;6
2020-09-01 00:00:00;KNPM (oblasť Jedlíkovej ulice);3
2020-09-01 00:00:00;POST (oblasť križovania ulíc Poštová - Obchodná);6
2020-09-01 00:00:00;OSPR (oblasť  Osobného prístavu a pred SNM);2
2020-09-01 00:00:00;ZMCK (oblasť rohu Židovskej a Kapucínskej ulice);3
2020-09-01 00:00:00;OBCH ( oblasť Obchodná ulica stred);3
2020-09-01 00:00:00;NSLO (oblasť parku Námestia Slobody);12
2020-09-01 00:00:00;CTUR;0
2020-09-02 00:00:00;HLVN (oblasť Hlavného Námestia, Františkánskeho Námestia a Starej Radnice);28
2020-09-02 00:00:00;RBNN (oblasť Rybného Námestia);19
2020-09-02 00:00:00;KLOB (oblasť Klobučníckej a Námestia SNP pred Starou Tržnicou);34
2020-09-02 00:00:00;SAFK (oblasť Šafárikovho Námestia pri UK);24
