DATE,DATA_IN,DATA_OUT,UNIQUE_CONN
2018-08-01 00:00:00,39088228846,161859868789,4960
2018-08-02 00:00:00,57405948884,218508574094,5847
2018-08-03 00:00:00,54106011184,196190285768,5606
2018-08-04 00:00:00,54077020566,197242891067,5854
2018-08-05 00:00:00,61283421531,200611098889,5876
2018-08-06 00:00:00,55010002348,175224501419,5834
2018-08-07 00:00:00,43136859576,192438854131,5897
2018-08-08 00:00:00,39778363910,166917186907,5488
2018-08-09 00:00:00,38679630841,186347379366,5578
2018-08-10 00:00:00,37658831339,157380868960,4925
2018-08-11 00:00:00,45766680137,193116090218,5815
2018-08-12 00:00:00,43436406367,193727128597,5967
2018-08-13 00:00:00,41154725882,165270792228,5167
2018-08-14 00:00:00,30905534382,162678814250,5056
2018-08-15 00:00:00,48246403572,196332296609,6142
2018-08-16 00:00:00,35349215902,167514329611,5604
2018-08-17 00:00:00,53316794469,188178285459,6126
2018-08-18 00:00:00,49574556002,192664513528,5993
2018-08-19 00:00:00,50424805189,177749679984,6265
2018-08-20 00:00:00,40212924366,173256076780,5646
2018-08-21 00:00:00,50605274577,212758410551,6726
2018-08-22 00:00:00,48362103594,231854743848,6797
2018-08-23 00:00:00,56510755156,243558499589,7122
2018-08-24 00:00:00,42849361524,185518904764,5814
2018-08-25 00:00:00,47607300360,145149437027,5081
2018-08-26 00:00:00,36948404563,151818223652,4565
2018-08-27 00:00:00,37711556768,157036815541,5277
2018-08-28 00:00:00,37604622894,179447605906,5445
2018-08-29 00:00:00,40210205953,169977833506,5638
2018-08-30 00:00:00,33146651109,156587129371,5142
2018-08-31 00:00:00,29646925813,175902866026,5246
