"date";"new_users";"returning_users";"average_online";"max_online";"dwell_5m";"dwell_10m";"dwell_30m";"dwell_60m";"dwell_long"
2020-02-01 00:00:00;500;1538;401;576;10432;2461;1196;165;73
2020-02-02 00:00:00;364;1319;296;442;7620;1641;852;170;51
2020-02-03 00:00:00;235;1439;263;379;6025;1330;707;152;67
2020-02-04 00:00:00;177;1570;258;382;6274;1199;763;146;64
2020-02-05 00:00:00;177;1544;281;401;5886;1173;827;163;65
2020-02-06 00:00:00;257;1518;277;396;6780;1304;826;140;69
2020-02-07 00:00:00;323;1771;334;500;8737;1857;989;161;64
2020-02-08 00:00:00;332;1472;357;496;7508;1696;1013;165;94
2020-02-09 00:00:00;292;1243;284;407;6426;1388;782;126;56
2020-02-10 00:00:00;217;1578;287;428;6384;1378;815;152;70
2020-02-11 00:00:00;243;1622;305;433;6613;1331;801;158;91
2020-02-12 00:00:00;252;1769;332;477;7448;1651;1006;166;76
2020-02-13 00:00:00;303;1850;349;503;8879;1821;995;164;78
2020-02-14 00:00:00;281;1941;342;471;8366;1730;1039;141;82
2020-02-15 00:00:00;456;1659;410;583;9617;2362;1315;189;76
2020-02-16 00:00:00;406;1359;323;479;8380;1907;996;128;55
2020-02-17 00:00:00;324;1793;352;512;8904;1929;1026;150;76
2020-02-18 00:00:00;261;1761;310;456;7421;1643;915;144;67
2020-02-19 00:00:00;303;1778;320;460;7939;1668;938;161;67
2020-02-20 00:00:00;297;1889;350;498;8358;1783;1048;159;86
2020-02-21 00:00:00;274;1762;573;748;8052;1696;1085;183;72
2020-02-22 00:00:00;426;1658;548;699;9686;2277;1229;176;82
2020-02-23 00:00:00;318;1315;303;470;7884;1643;927;155;53
2020-02-24 00:00:00;278;2012;325;491;8363;1686;971;164;66
2020-02-25 00:00:00;351;2372;516;686;10410;2409;1243;192;96
2020-02-26 00:00:00;232;2135;352;493;8163;1864;984;137;94
2020-02-27 00:00:00;302;1971;348;500;8584;1836;943;163;91
2020-02-28 00:00:00;228;1343;273;506;5429;1149;664;128;96
2020-02-29 00:00:00;374;1558;454;581;8191;1879;1038;171;51
